query_id,text
5521466_gab,in sweden immigrants trying to live normal lives are demanding that criminal immigrants be deported they want families of immigrants to be deported it is not clear what that means they think they are under attack from criminals in some of the no go zones and want more police
5824375_gab,all people engage in stereotyping bc that how humans survive anyone who claims that assuming blacks are thugs bc of how they dress in the ghetto is a retard bc they dress that way literally to convince others they are thugs so they will not be attacked by other thugs
9831315_gab,pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances
1121959412778897409_twitter,niggas ah pay dollar just to stand beside her
1178707335973343233_twitter,<user> <user> <user> tour guide and here you will see true caucasians just being white
1179100863664545792_twitter,<user> and you are proving your ignorance more and more like i said i am done arguing with a ass scratching finger sniffing redneck do a little research and then we will talk
1094042528024850433_twitter,<user> lying atheistic communist jews are hurting the image of my people shanda
1179074380720201729_twitter,i stole a parking spot from a white boy this morning happy october 🧡 🍂 ✨
11542146_gab,this is the general attitude of all ghetto apes
1179096372479320064_twitter,<user> <user> <user> no one wants to leave one homeland and go somewhere because they were forced thats why they had to leave their home land and roam like refugee
1106229652887126016_twitter,<user> blm and antifa and muslims destroying this country within
14950466_gab,guardamerican draws the line at the sanctity of life unlike your gosnell crowd ethno cleansing blacks more than any nazi ever dreamed that your side the kk venezuela socialism euthenasia all you libs love death conservatives value life
9637052_gab,leave us kikes alone you talk about jews the was blm talks about white people
1217464079763300352_twitter,<user> why does he have to have towel head behind him
4564182_gab,the morons in washington really need to start prioritizing american citizens above other people fix the va and help our homeless men women and children before we take in more people period we need our safety first not last
1103766016742416384_twitter,a whole generation of white women is gonna get radicalized when they realize nazis are the only ones taking their safety seriously
1178994611190210560_twitter,<user> <user> <user> <user> <user> <user> <user> <user> hey uneducated brainwashed sangi chaddi jihadi bjp it coolie if every countries become narrow minded extremist like you hindu jihadi give up liberal secular value <number> million indian rotting in ind even muslim country like dubai have <percent> indian hindu ungrateful chaddijihadis
17101996_gab,if you think destroying iran will weaken islam you are a verifiable dumbass all it will do is push more refugees to europe and create more hatred and more bloodshed none of which will be to the benefit of white europeans
13754697_gab,now we just need a man to come forward about obama and a butch dyke about hillary
6478984_gab,look at that little half breed ghetto manlet with his try hard <number> <number> roses bet his mom helped him pick them out
4426836_gab,<user> so whites hate whites more than blacks hate whites your train of thought kind of lost me there
16520172_gab,most whites adapt pretty easy to being a minority as long as the new majority are not violent idiots like blacks whites flee becoming a minority to blacks but they just accept becoming minorities to asians and hispanics
1179041911090188288_twitter,they do not tolerate mohajirs been crammed in the slums of karachi daily being told2go back2india there can be no nonmuslim refugees2pak bdesh every1 knows the same night mulla goons will dash in their homes lift up the women kill them law will ignore
8027713_gab,no i only call you a retard because you are a retard
1174120792352800773_twitter,can ’ t fw a nigga who doesn ’ t know how to manage his time
1178974074501877760_twitter,<user> <user> <user> he raped and molested ur grandma or what 😂 😂 whatsapp university rss goons came back with fake news 💦 💦 💦 💦 💦
1168919462076178432_twitter,you do not have to be muslim to help kashmir you just have to be human 1 monthofkashmirshutdown
8462782_gab,this is a win for maga do u think people realize these non profits are a back door to supporting immigrants plus all the federal so they get welfare non profit grant money taxpayers this is a racket that is on a scale of the clintonfoundation where are investigative reporters
6692146_gab,democrats have next obama readying in the wings a muslim doctor that what they call diversity i call it stupid 👹
1178501413346906113_twitter,also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual h0m0
