post_id,annotators,rationales,post_tokens,annotator_labels,text,label_counts,n_annotators,shannon_entropy,stability_bins
5521466_gab,"[{'label': 'normal', 'annotator_id': 217, 'target': ['Men', 'Women']}, {'label': 'normal', 'annotator_id': 235, 'target': ['None']}, {'label': 'normal', 'annotator_id': 199, 'target': ['Refugee']}]",[],"['in', 'sweden', 'immigrants', 'trying', 'to', 'live', 'normal', 'lives', 'are', 'demanding', 'that', 'criminal', 'immigrants', 'be', 'deported', 'they', 'want', 'families', 'of', 'immigrants', 'to', 'be', 'deported', 'it', 'is', 'not', 'clear', 'what', 'that', 'means', 'they', 'think', 'they', 'are', 'under', 'attack', 'from', 'criminals', 'in', 'some', 'of', 'the', 'no', 'go', 'zones', 'and', 'want', 'more', 'police']","['normal', 'normal', 'normal']",in sweden immigrants trying to live normal lives are demanding that criminal immigrants be deported they want families of immigrants to be deported it is not clear what that means they think they are under attack from criminals in some of the no go zones and want more police,{'normal': 3},3,0.0,high_agreement
5824375_gab,"[{'label': 'offensive', 'annotator_id': 204, 'target': ['African', 'Other']}, {'label': 'offensive', 'annotator_id': 203, 'target': ['African']}, {'label': 'offensive', 'annotator_id': 220, 'target': ['African']}]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","['all', 'people', 'engage', 'in', 'stereotyping', 'bc', 'that', 'how', 'humans', 'survive', 'anyone', 'who', 'claims', 'that', 'assuming', 'blacks', 'are', 'thugs', 'bc', 'of', 'how', 'they', 'dress', 'in', 'the', 'ghetto', 'is', 'a', 'retard', 'bc', 'they', 'dress', 'that', 'way', 'literally', 'to', 'convince', 'others', 'they', 'are', 'thugs', 'so', 'they', 'will', 'not', 'be', 'attacked', 'by', 'other', 'thugs']","['offensive', 'offensive', 'offensive']",all people engage in stereotyping bc that how humans survive anyone who claims that assuming blacks are thugs bc of how they dress in the ghetto is a retard bc they dress that way literally to convince others they are thugs so they will not be attacked by other thugs,{'offensive': 3},3,0.0,high_agreement
9831315_gab,"[{'label': 'hatespeech', 'annotator_id': 44, 'target': ['African']}, {'label': 'hatespeech', 'annotator_id': 46, 'target': ['African']}, {'label': 'hatespeech', 'annotator_id': 45, 'target': ['African']}]","[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['pls', 'call', 'this', 'coon', 'out', 'for', 'the', 'of', 'impoverished', 'blks', 'living', 'on', 'he', 'brink', 'while', 'he', 'and', 'his', 'clowngressional', 'bleak', 'carcass', 'cbc', 'use', 'every', 'avenue', 'to', 'distract', 'from', 'their', 'cowardly', 'performances']","['hatespeech', 'hatespeech', 'hatespeech']",pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,{'hatespeech': 3},3,0.0,high_agreement
1121959412778897409_twitter,"[{'label': 'normal', 'annotator_id': 6, 'target': ['None']}, {'label': 'normal', 'annotator_id': 7, 'target': ['None']}, {'label': 'normal', 'annotator_id': 4, 'target': ['African']}]",[],"['niggas', 'ah', 'pay', 'dollar', 'just', 'to', 'stand', 'beside', 'her']","['normal', 'normal', 'normal']",niggas ah pay dollar just to stand beside her,{'normal': 3},3,0.0,high_agreement
1178707335973343233_twitter,"[{'label': 'normal', 'annotator_id': 1, 'target': ['None']}, {'label': 'normal', 'annotator_id': 93, 'target': ['None']}, {'label': 'normal', 'annotator_id': 18, 'target': ['None']}]",[],"['<user>', '<user>', '<user>', 'tour', 'guide', 'and', 'here', 'you', 'will', 'see', 'true', 'caucasians', 'just', 'being', 'white']","['normal', 'normal', 'normal']",<user> <user> <user> tour guide and here you will see true caucasians just being white,{'normal': 3},3,0.0,high_agreement
1179100863664545792_twitter,"[{'label': 'offensive', 'annotator_id': 10, 'target': ['Caucasian']}, {'label': 'offensive', 'annotator_id': 39, 'target': ['Caucasian']}, {'label': 'offensive', 'annotator_id': 25, 'target': ['Economic']}]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['<user>', 'and', 'you', 'are', 'proving', 'your', 'ignorance', 'more', 'and', 'more', 'like', 'i', 'said', 'i', 'am', 'done', 'arguing', 'with', 'a', 'ass', 'scratching', 'finger', 'sniffing', 'redneck', 'do', 'a', 'little', 'research', 'and', 'then', 'we', 'will', 'talk']","['offensive', 'offensive', 'offensive']",<user> and you are proving your ignorance more and more like i said i am done arguing with a ass scratching finger sniffing redneck do a little research and then we will talk,{'offensive': 3},3,0.0,high_agreement
1094042528024850433_twitter,"[{'label': 'offensive', 'annotator_id': 223, 'target': ['Jewish', 'Other']}, {'label': 'offensive', 'annotator_id': 235, 'target': ['None']}, {'label': 'offensive', 'annotator_id': 209, 'target': ['Jewish']}]","[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]]","['<user>', 'lying', 'atheistic', 'communist', 'jews', 'are', 'hurting', 'the', 'image', 'of', 'my', 'people', 'shanda']","['offensive', 'offensive', 'offensive']",<user> lying atheistic communist jews are hurting the image of my people shanda,{'offensive': 3},3,0.0,high_agreement
1179074380720201729_twitter,"[{'label': 'normal', 'annotator_id': 44, 'target': ['None']}, {'label': 'normal', 'annotator_id': 84, 'target': ['None']}, {'label': 'normal', 'annotator_id': 18, 'target': ['None']}]",[],"['i', 'stole', 'a', 'parking', 'spot', 'from', 'a', 'white', 'boy', 'this', 'morning', 'happy', 'october', '🧡', '🍂', '✨']","['normal', 'normal', 'normal']",i stole a parking spot from a white boy this morning happy october 🧡 🍂 ✨,{'normal': 3},3,0.0,high_agreement
11542146_gab,"[{'label': 'hatespeech', 'annotator_id': 238, 'target': ['African']}, {'label': 'hatespeech', 'annotator_id': 203, 'target': ['African']}, {'label': 'hatespeech', 'annotator_id': 211, 'target': ['African']}]","[[0, 0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1, 1]]","['this', 'is', 'the', 'general', 'attitude', 'of', 'all', 'ghetto', 'apes']","['hatespeech', 'hatespeech', 'hatespeech']",this is the general attitude of all ghetto apes,{'hatespeech': 3},3,0.0,high_agreement
1179096372479320064_twitter,"[{'label': 'normal', 'annotator_id': 46, 'target': ['None']}, {'label': 'normal', 'annotator_id': 44, 'target': ['None']}, {'label': 'normal', 'annotator_id': 1, 'target': ['None']}]",[],"['<user>', '<user>', '<user>', 'no', 'one', 'wants', 'to', 'leave', 'one', 'homeland', 'and', 'go', 'somewhere', 'because', 'they', 'were', 'forced', 'thats', 'why', 'they', 'had', 'to', 'leave', 'their', 'home', 'land', 'and', 'roam', 'like', 'refugee']","['normal', 'normal', 'normal']",<user> <user> <user> no one wants to leave one homeland and go somewhere because they were forced thats why they had to leave their home land and roam like refugee,{'normal': 3},3,0.0,high_agreement
