query_id,text
5521466_gab,in sweden immigrants trying to live normal lives are demanding that criminal immigrants be deported they want families of immigrants to be deported it is not clear what that means they think they are under attack from criminals in some of the no go zones and want more police
5824375_gab,all people engage in stereotyping bc that how humans survive anyone who claims that assuming blacks are thugs bc of how they dress in the ghetto is a retard bc they dress that way literally to convince others they are thugs so they will not be attacked by other thugs
9831315_gab,pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances
1121959412778897409_twitter,niggas ah pay dollar just to stand beside her
1178707335973343233_twitter,<user> <user> <user> tour guide and here you will see true caucasians just being white
1179100863664545792_twitter,<user> and you are proving your ignorance more and more like i said i am done arguing with a ass scratching finger sniffing redneck do a little research and then we will talk
1094042528024850433_twitter,<user> lying atheistic communist jews are hurting the image of my people shanda
1179074380720201729_twitter,i stole a parking spot from a white boy this morning happy october 🧡 🍂 ✨
11542146_gab,this is the general attitude of all ghetto apes
1179096372479320064_twitter,<user> <user> <user> no one wants to leave one homeland and go somewhere because they were forced thats why they had to leave their home land and roam like refugee
1118252411414564864_twitter,mice are sexily jewish and i grow increasingly aroused thinking about rikki tikki tavi bitch
13567007_gab,i have offered quite a few constructive and gentle criticisms of her kike face and it modern art paint shellacking 😬 buffalo bill was not very appreciative
1087858194519601152_twitter,now stephanie liking this nigga shit 😔 he getting mad bitches tonight
1179059616677814273_twitter,these fucking faggots be outta line son -.- every year these mf get more comfortable and comfortable in disrespecting straight man like i will not slap the shit out of mf disrespecting me 😑 and best believe im out too dumb ass mf
9045150_gab,why the surprise he is protecting is fellow mudslimes
5241413_gab,retarded honky nigger faggot cunt bitch am i going to be banned for <number> hours oh this is not twitter
22877517_gab,islam see to be only doing aweful things no wonder we do not want to do with that even a few good peeps are among them i doubt the ideoligy of the islam is good for peeps more bad for humans
1178641566602158080_twitter,<user> it is very fair established accustaion kashmiri muslims has forced to vacate pandits masaacred pandits raped their girls nd women kashmiri muslims r sole culprit of this
21627337_gab,no bro this is ooga booga yikes this mongrel looks like a predator alien fucked a nigger that fucked whoopi goldberg that fucked one of those little monkey critters on star wars
1179030824668352512_twitter,<user> announced clerks <number> i am excited you need an extra on set someone to make sure porch monkey was taken back i am willing to come work
1179104610461585415_twitter,the media frenzy regarding boris allegedly touching a woman thigh <number> years ago yet children are groomed and raped for years without the genuine scunity it deserved the pungent stench of hypocrisy by mps and the media makes you wanna throw up
19930942_gab,priceless intro to gab i will follow just because you said shithole country lmfao welcome to gab home of the anti semites also home of the muslime and nigger haters <happy>
1178741653026291713_twitter,need them white malteser truffles in my life
18481914_gab,and the author is a ratfaced kike faggot absolutely shocking
1105741490423242752_twitter,son of a bitch the keyboard and purifier i bought sunday night got delivered yesterday to my parents house fuckers
1187406485128695809_twitter,thought she was a pretty rickey bitch but she like yo gotti
24758229_gab,does it refer to the real jews comparing them to those who call themselves jews today is comparing apples to oranges
1179037519167422466_twitter,<user> <user> but ethnic cleansing of hindus has actually happened in pakistan hindus who wr <percent> in west pak in <number> hv been reduced to <percent> thru killings n conversions hypocrite werleman never cared to question terroristan coz he thinks like a jihadi
1178287461560127489_twitter,u niggers r coonin for that kanye shit
1145140813707583489_twitter,only in america are legal citizens labeled racists and nazi but illegal aliens are called dreamers
13927228_gab,no kike should ever feel at home or welcome on this site
1178822496205889538_twitter,u can rent a hoe but u can not buy a bitch
20337799_gab,shaved headed bitch creep the left could not have found someone cute they had to go with a dyke
22312249_gab,who cares what is popular what are you <number> kikes want you and your children dead this is well known but i bet you are still watching nigger ball and hollywood garbage
25636207_gab,i fell for the great white hope rhetoric my bad he better than obama and bush et all idgaf still a slimy politician piece of shit also dgaf about muzzies and kikes i do not want american lives or dollars spent on any of those fucking parasites
1178835957845544960_twitter,when i say i only like seven <number> men i mean i only love seven <number> men bc im fucking gay
11142985_gab,i have always considered that nigger one of the many anti christ saying name of jesus to do the work of the devil
1750303_gab,<user> calling someone a nigger is probably the douchebag equivalent of a down vote in the real world if you can not handle the downvotes maybe you should not use the word do not be afraid to speak freely when other people will not like it i am like <number> something
1183859219595874305_twitter,you ’ re ghetto stfu 😂
1178810964390502402_twitter,so apparently poeople dont like it when you say you want to kill yourself itd true though
3478943_gab,<user> in <number> yrs compassion to muslims has never worked the ungrateful refugees and terrorist prove it still has not changed but it would not be islam if it did
20477640_gab,i know and work with many indians and sikhs almost all are hard working polite honourable people who don t like blacks jews queers or liberals
10871342_gab,the retarded fighting the retarded
5613562_gab,so let me get this straight last year activists made a big stink about no blacks at the oscars and this year an all black cast with a black director won best picture you want me to believe this was based on talent maybe do not make a stink
1179104396673716225_twitter,imma real big ol slut for spooky season
22421440_gab,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life
18418884_gab,it been nearly three weeks since a man described as a somali immigrant attacked evenson while she was walking home from work in uptown minneapolis slashing and stabbing her relentlessly while trying to drag her off of a public street
25212997_gab,go be a nigger somewhere else
1179087220613029889_twitter,saying you hate all white people men straights is not funny or quirky oh my god
5644239_gab,why are good conservative white tan men so hot 😍 speakfreely
22398621_gab,skinhead dyke cunt
324N5FAHSXCKZ5OS68BGDFK3SBPKV0_nf_3,we have been much better than brugge we have had more chances and we have controlled the game the two chances they had they scored cuz courtois is a fucking bum
1179095488282279937_twitter,<user> na actually buddhist christian sikh jain and hindu all were refugees and were allowed by indian government so they are living here legally but bangladeshi illegal immigrants are not so that why he cleared the air that all those refugess will not be asked to leave
1178741533161525249_twitter,a nigga got super drunk and walked home not drinkin till vegas lol
1179105500018823169_twitter,white police getting charged with murder and niggas is dancing with lions i am baffled
1209247794755776514_twitter,fuck all you gay bitches that are gonna buy the codename elf bundle kys niggers
20869024_gab,the shitlibs are clinging to a grain of truth when they bitch about corporate speech it just turns out that all the corporations promote degeneracy leftism anti whiteness etc etc too bad they can not make the connections
15236599_gab,one day a nigger will blow your brains out
1178518008366604291_twitter,sometimes i purposely type with shitty english to make grammar nazi ’ triggered
24656359_gab,you are a nobody kike faggot delta male emo bitch who gives a fuck enough about you to even try no one fucking twat
1179035770763403266_twitter,they all look good in mugler with their yeezy heels on no cappity
23974948_gab,lol finally one nigglet out of millions learned how to use white people invention
19799018_gab,eat me it a ritual created by the jews to bring their sons closer to god the rabbi literally sucks the bleeding dick fuck off with your pagan rituals
14500990_gab,of course because steve jobs was a gay faggit kike himself
1179094957690408965_twitter,old white people really think they are entitled wow do not doubt the power i have over your exams bitch
1178402978031521793_twitter,<user> <user> babies in cages destroying environment by rolling back regulations siding with white supremacists bad mouthing gold star families shithole countries response to puerto rico that just a few
1179073898903719938_twitter,i do not wanna be a super reacher but something is telling me that lil girl did not lie about them white boys bullying her and cutting her hair i am wondering if the family is doing this cuz they fear for her safety 🤔
1178379130804432896_twitter,thigh high black boots burberry all day bitches
1178834447266914310_twitter,i wanted to follow the dumbest hoe on twitter but it said edit profile smh
15527158_gab,never open your door to a muslim shit skin cop or if you do be prepared to kill the fucking nigger because as has been demonstrated if you call a muslim cop especially after the minnesota muslim got away with murder they know they are above the law
11933625_gab,<user> you are easily the best youtuber out there but you are still a nigger
1179089977436565504_twitter,<user> noice i got the silver one just cuz i am a white hoe and that the closest color i could get to it 😂
25647426_gab,they probably have some muzzie doing that
1179009714409132034_twitter,fucked a white bitch in the ass she shitted call it a mcflurry
1178992034150924289_twitter,does taron keep the troubadour sign unplugged or does he have that bitch lit up to full neon fluorescence <number> <number> that my only question
1085172397152583682_twitter,<user> <user> have you heard steve king comments and retwitting neo nazi bs
26726148_gab,more substance than anything you are ever going to post you disinfo kike
1179014410964213760_twitter,i have this great idea of overcoming white people so we as africans empowering black economy
1179102245696262145_twitter,<date> can not wait to start wearing more and going out less like a slut
1122680380090400768_twitter,winterfell needs captain marvel against these niggas
1179097935436496896_twitter,<user> a fucking hate you
1178064726942781440_twitter,brits be like did you put the faggots in a bin
6030950_gab,sounds like something a moslem would do
11366872_gab,not tame just do not use words like nigger and kike etc disqus lets websites blacklist particular words
1225955964106366976_twitter,<user> <user> stfu you retarded scumbag did you really verify the news or you spreading false information
18815358_gab,there is nothing a woman desires more than being brought to heel if white westerners will not do it then they will defect to the muzzrat savages who will it as simple as that
18481911_gab,lol you keep typing fuxc you dumb cunt you paki trash are way too dumb to even fix your auto correct
10750547_gab,adl kikes team with jewoogle and all right wing sites get attacked or shut down this will not stop us it will only make us stronger and bring more attention to you kike terrorist free dailystormer
6453946_gab,the reason jews shitlibs faggots hate attack christians while defending muslims is because they know the christians will never fight back while the sand niggers will throw their skinny jeaned asses off roofs cut their fucking knit capped heads off
16487965_gab,that the founders owned slaves mostly negro is a historical fact not a liberal confabulation liberals have a pretty accurate view of american history it their moral response that is the problem
7884653_gab,also asians get more of a pass cause they are seen as less threatening cause they are good at math and have small umm hands
1182956991293071360_twitter,<user> ho jay gay
1146008465581547521_twitter,<user> <user> hahaha dumb bitch blocked me
23366947_gab,these faggots and dykes need to stop pushing their perversions in our and our children faces it is all part of their diseased agenda to groom and indoctrinate more kids into their disgusting lifestyle it is not about teaching tolerance its about making more faggots and dykes
22807536_gab,ahed tamimi is whiter than all the kike rats in israel free ahed tamimi gas the jews
1126646488761806848_twitter,niggas been debating quilly and meek since <number> lol
1217208944436940800_twitter,<user> <user> illegal immigrants aren ’ t americans
1179098055020171265_twitter,<user> just listened to your episode <number> job haunting cannot believe you refer to living human beings as illegal aliens or even aliens you have lost a listener and got a low rating btw you should read up on the atrocities border patrol agents do to children and families
1179103472685330432_twitter,<user> <user> r u kidding it be all over the news lol media hawks would jump on it quick and make it front page where they d be sure to mention at least <number> times how many jews suffered n died in the holocaust 🙄
1178309101425610757_twitter,i will take the rise body pillow in exchange go to hell u fuckin faggot
1098349742675898368_twitter,<user> what about us white arabs
16308654_gab,hey nocoiner pedophile faggots
23153961_gab,christianity turned whites into lugubrious losers that why even white kids prefer nigger music because niggers do not sound beaten down white christians always do
1165409508157341696_twitter,not a grammar nazi but
1179087197733081088_twitter,i am holding my celebration until after she get her numbers i know how them white ppl play guilty do not mean shit if they gone give her county time
1081685508626022400_twitter,a lot of white men from texas are currently offering unsolicited coaching advice to their significant others colts texans
1179016717604937728_twitter,<user> one day terrorist modi will be abducted killed and raped by his own terrorist organization rss
1177586147276578817_twitter,<user> normani and bts they hate you
1179089382277570562_twitter,a bitch needs a hair cut tattoo and vacation
1179039985175060486_twitter,ima bitch i will admit it
20741822_gab,look where iq has gotten us our countries are flooded with brown inbred retards nah i d rather be a nigger at this point
17402205_gab,you mean the conservative saint ronald reagan gave amnesty to a million mexicans another chink in his armor
1179028587485241344_twitter,it inappropriate to tell someone you are going to skull fuck them because you are angry i will skull fuck you too if you all keep up this nonsense 😂
1178733596183388160_twitter,lrt im not one for excessive violence but fuck if that scene did not get my dick so hard when i first saw it
19582499_gab,<number> years later that kikess still has not been gassed wtf
1178412599169486849_twitter,<user> <user> <user> i own a biz in a black neighborhood and my husband is white answer me this why in the hell does it matter 🤷 🏽 ‍ ♀️ also what have the dems done for any impoverished neighborhood i will wait 🤔
1178554750809362432_twitter,charwe in full nehanda charwe nyakasikana born <number> — died <date> one of the major spiritual leaders of african resistance to white rule during the late 1 9 th century in what is now zimbabwe
18676042_gab,the reason god made women for easily manipulated is so everybody could get laid
18915190_gab,jesus christ man look at the size of your forehead are you smuggling illegal immigrants into the country in that thing
1178647995816071170_twitter,quick question i am five years here in the republic like am i not yet good enough to just be a culchie sure redneck feels way too close to hillbilly the hills of ulster plus king billy wm of orange recalls evil james mitchell and john weir types please 🙏 ❤️
1178457629754118144_twitter,<user> im supposed to be worried about men instead thats that lgbtq bullshit why black women want all black men to be raging gay faggots no im interested in woman
12075675_gab,so do alt lite jew and nigger loving faggots
1207166286335217665_twitter,my sex drive retarded i wanna be nasty <number> <number> 😂 😫
16024094_gab,realy bama dude speak russian wtf are you retard that not right at all
1178273282610667522_twitter,let me go and watch power because you niggers have no respect
1081320994244055040_twitter,that hoe only got time for his friends
